,country,state,lpopd,egood,ebad,mining,plantations,enone,yppp,lyppp,lpoverty,lgini,lhealth,lyear,llit,lschoolspk,lseats,native,black,temp_avg,temp2,rainfall,rain2,alti,alti2,landlocked
132,Ecuador,ORELLANA,-0.36,1,0,0.0,0.0,0,26573.69921875,10.19,4.215086,-1.1457039,,,-0.07796153,-4.0115347,-10.270818,3.2,3.5,25.0,625.0,4.519999980926514,20.430399,0.297,0.088208996,1.0
133,Ecuador,PASTAZA,-0.36,1,0,0.0,0.0,0,9906.2900390625,9.2,4.215086,-1.1457039,,,-0.07796153,-4.093513,-9.516979,2.8,1.1,20.7,428.49002,4.519999980926514,20.430399,0.98,0.96040004,1.0
134,Ecuador,PICHINCHA,2.29,1,0,0.0,0.0,0,3623.18994140625,8.2,4.1573195,-0.9969586,2.978,6.441,-0.05234648,-5.041681,-11.982994,11.5,3.3,18.5,342.25,3.3399999141693115,11.1556,2.763,7.634169,1.0
135,Ecuador,SUCUMBIOS,-1.2,1,0,0.0,0.0,0,20891.619140625,9.95,4.215086,-1.1457039,,,-0.07796153,-4.1195483,-10.072069,1.6,5.2,23.0,529.0,4.519999980926514,20.430399,0.405,0.164025,1.0
136,Ecuador,TUNGURAHUA,2.39,0,1,1.0,0.0,0,2754.510009765625,7.92,4.1573195,-0.9288695,,,-0.10981484,-4.966322,-11.420985,7.8,1.2,14.0,196.0,3.2799999713897705,10.7584,2.458,6.041764,1.0
137,Ecuador,ZAMORA CHINCHIPE,-0.05,0,1,1.0,0.0,0,2042.25,7.62,4.215086,-1.1457039,,,-0.07796153,-3.9962797,-9.793282,1.1,0.8,18.0,324.0,4.110000133514404,16.892101,0.983,0.966289,1.0
138,El Salvador,Ahuachapán,3.16,1,0,0.0,0.0,0,2242.0,7.72,4.1926804,-0.6931472,,,-0.34249026,-5.522304,-10.802428,,,23.5,552.25,1.75,3.0625,0.799,0.63840103,0.0
139,El Salvador,Cabañas,2.98,1,0,0.0,0.0,0,2191.0,7.69,4.2499228,-0.597837,,,-0.41551548,-5.261184,-10.142845,,,23.5,552.25,1.7000000476837158,2.89,0.725,0.52562505,1.0
140,El Salvador,Chalatenango,2.98,1,0,0.0,0.0,0,2578.0,7.85,4.085976,-0.67334455,,,-0.30110508,-5.1106567,-10.466829,,,26.75,715.5625,1.6299999952316284,2.6569,0.396,0.156816,1.0
141,El Salvador,Cuscatlán,3.16,1,0,0.0,0.0,0,3335.0,8.11,3.6686769,-0.67334455,,,-0.17435335,-5.6641498,-10.474937,,,22.5,506.25,1.5499999523162842,2.4025,0.853,0.727609,1.0
142,El Salvador,La Libertad,3.16,1,0,0.0,0.0,0,5121.0,8.54,3.4468079,-0.7133499,,,-0.1863296,-5.675312,-11.051753,,,21.0,441.0,1.8799999952316284,3.5344,0.9,0.80999994,0.0
143,El Salvador,La Paz,3.32,1,0,0.0,0.0,0,3020.0,8.01,3.8979242,-0.7550226,,,-0.2613648,-5.5914164,-10.818304,,,26.5,702.25,1.590000033378601,2.5281,0.149,0.022201002,0.0
144,El Salvador,San Miguel,3.16,1,0,0.0,0.0,0,3526.0,8.17,3.9608133,-0.6931472,,,-0.27443686,-5.4920597,-10.707545,,,27.1,734.41003,1.409999966621399,1.9880999,0.129,0.016640998,0.0
145,El Salvador,San Salvador,3.67,1,0,0.0,0.0,0,5954.0,8.69,3.421,-0.7765288,,,-0.094310716,-5.9227457,-10.932908,,,24.5,600.25,1.5800000429153442,2.4964,0.658,0.432964,1.0
146,El Salvador,San Vicente,2.98,1,0,0.0,0.0,0,2671.0,7.89,4.0993323,-0.6931472,,,-0.30110508,-5.3714128,-10.185856,,,26.3,691.68994,1.4299999475479126,2.0449,0.573,0.32832903,1.0
147,El Salvador,Santa Ana,3.32,1,0,0.0,0.0,0,3356.0,8.12,3.914021,-0.7550226,,,-0.2484614,-5.539134,-10.764678,,,22.5,506.25,1.100000023841858,1.21,0.644,0.414736,1.0
148,El Salvador,Sonsonate,3.32,1,0,0.0,0.0,0,3252.0,8.09,3.9454577,-0.67334455,,,-0.30110508,-5.753923,-10.940973,,,26.5,702.25,1.940000057220459,3.7636,0.246,0.060516004,0.0
149,El Salvador,Usulután,3.32,1,0,0.0,0.0,0,2789.0,7.93,4.028917,-0.67334455,,,-0.37106368,-5.4562016,-10.705366,,,23.5,552.25,1.9500000476837158,3.8025002,0.091,0.008281,0.0
150,Guatemala,Central,3.27,1,0,0.0,0.0,0,3600.0,8.19,3.9010918,-0.77002823,,,-0.19358476,-5.2296386,-11.387354,40.18404,,20.85,434.7225,1.9800000190734863,3.9204001,1.236,1.5276959,0.0
151,Guatemala,Metropolitana,3.37,1,0,0.0,0.0,0,8400.0,9.04,2.6532419,-0.6424541,,,-0.10425,-3.6942897,-11.5545845,13.5,,20.4,416.15997,1.2200000286102295,1.4884001,1.529,2.337841,1.0
152,Guatemala,Noroccidente,3.37,1,0,0.0,0.0,0,2200.0,7.7,4.266296,-0.6911492,,,-0.6217572,-4.0935946,-11.482421,68.16512,,17.58,309.0564,1.3300000429153442,1.7689002,2.084,4.3430567,1.0
153,Guatemala,Nororiente,2.85,1,0,0.0,0.0,0,3700.0,8.22,3.8925226,-0.76142603,,,-0.3271162,-4.3392205,-11.224708,13.312515,,24.86,618.01965,1.3899999856948853,1.9320999,0.32,0.1024,0.0
154,Guatemala,Norte,3.09,1,0,0.0,0.0,0,2100.0,7.65,4.402765,-0.70319754,,,-0.586987,-4.5716434,-11.507021,85.24009,,23.65,559.3225,1.899999976158142,3.61,1.242,1.5425639,1.0
155,Guatemala,Petén,1.73,1,0,0.0,0.0,0,2900.0,7.97,4.1367655,-0.6597124,,,-0.28369004,-4.399861,-11.630193,30.9,,25.31,640.59607,2.200000047683716,4.84,0.113,0.012769,1.0
156,Guatemala,Suroccidente,3.31,1,0,0.0,0.0,0,3000.0,8.01,4.2508535,-0.6871651,,,-0.3467246,-4.0739264,-11.52637,54.087605,,22.0,484.0,2.240000009536743,5.0176,1.482,2.1963239,0.0
157,Guatemala,Suroriente,3.29,1,0,0.0,0.0,0,2600.0,7.86,4.2007356,-0.7174399,,,-0.2613648,-3.9601474,-11.331028,7.371791,,22.85,522.1225,1.2100000381469727,1.4641001,1.035,1.0712249,0.0
158,Honduras,Atlantida,2.1,0,1,1.0,0.0,0,2430.10009765625,7.8,2.9549103,,,,-0.23698892,-4.944482,-10.303693,,,26.4,696.95996,2.950000047683716,8.7025,0.007,4.9000002e-05,0.0
159,Honduras,Choluteca,2.87,1,0,0.0,0.0,0,1998.699951171875,7.6,3.2108436,,,,-0.35953617,-4.5589066,-10.399145,,,29.0,841.0,1.8200000524520874,3.3124,0.04,0.0016,0.0
160,Honduras,Colón,0.0,0,1,1.0,0.0,0,2047.300048828125,7.62,3.1863527,,,,-0.34531116,-4.902339,-10.529941,,,26.3,691.68994,3.0199999809265137,9.120399,0.0,0.0,0.0
161,Honduras,Comayagua,2.1,1,0,0.0,0.0,0,2107.5,7.65,3.1000922,,,,-0.32989395,-4.572329,-10.441896,,,22.5,506.25,1.5,2.25,0.593,0.351649,1.0
162,Honduras,Copán,2.1,1,0,0.0,0.0,0,1844.0,7.52,3.4177268,,,,-0.5058381,-4.4840546,-10.352992,,,20.5,420.25,1.6399999856948853,2.6896,1.168,1.364224,1.0
163,Honduras,Cortés,2.1,1,0,0.0,0.0,0,2578.699951171875,7.86,2.939162,,,,-0.2471801,-5.183389,-10.408454,,,26.3,691.68994,1.2200000286102295,1.4884001,0.083,0.0068889996,0.0
164,Honduras,El paraíso,2.24,0,1,1.0,0.0,0,1919.5,7.56,3.339322,,,,-0.4652151,-4.355023,-10.65449,,,21.7,470.89005,0.8899999856948853,0.79209995,1.007,1.0140489,1.0
165,Honduras,Francisco Morazán,2.1,0,1,1.0,0.0,0,2920.199951171875,7.98,2.7146947,,,,-0.16134314,-5.1134825,-10.491605,,,21.7,470.89005,0.8899999856948853,0.79209995,0.98,0.96040004,1.0
166,Honduras,Gracias a Dios,0.0,0,1,1.0,0.0,0,2175.39990234375,7.68,,,,,-0.41703168,-4.75038,-10.462246,,,27.3,745.29,3.180000066757202,10.1124,0.0,0.0,0.0
167,Honduras,Intibucá,2.1,1,0,0.0,0.0,0,1860.0,7.53,3.468856,,,,-0.5225609,-4.2508945,-10.634901,,,18.2,331.24002,1.340000033378601,1.7956,1.72,2.9584,1.0
168,Honduras,Isla de la Bahía,2.1,1,0,0.0,0.0,0,2569.89990234375,7.85,,,,,-0.07472357,-4.8000693,-10.001612,,,28.1,789.61005,1.9199999570846558,3.6864,0.0,0.0,1.0
169,Honduras,La Paz,2.1,1,0,0.0,0.0,0,1984.5,7.59,3.269569,,,,-0.38860804,-4.3692665,-10.471893,,,18.2,331.24002,1.340000033378601,1.7956,0.687,0.47196898,1.0
170,Honduras,Lempira,2.1,1,0,0.0,0.0,0,1715.800048828125,7.45,3.6000483,,,,-0.67924434,-4.123574,-10.474778,,,18.2,331.24002,1.340000033378601,1.7956,0.802,0.643204,1.0
171,Honduras,Ocotepeque,2.1,1,0,0.0,0.0,0,1850.800048828125,7.52,3.468856,,,,-0.57625335,-4.1239543,-10.522396,,,24.2,585.64,1.3700000047683716,1.8769,0.819,0.670761,1.0
172,Honduras,Olancho,0.0,0,1,1.0,0.0,0,1951.0999755859375,7.58,3.273364,,,,-0.44941697,-4.343679,-10.610298,,,25.1,630.01,1.350000023841858,1.8225001,0.41,0.1681,1.0
173,Honduras,Santa Bárbara,2.1,1,0,0.0,0.0,0,1921.5999755859375,7.56,3.6454499,,,,-0.7550225,-4.3724356,-10.3412695,,,22.1,488.41,1.190000057220459,1.4161001,0.312,0.097344,1.0
174,Honduras,Valle,2.87,1,0,0.0,0.0,0,2007.699951171875,7.6,3.3286266,,,,-0.4277107,-4.468524,-10.3086605,,,18.2,331.24002,1.340000033378601,1.7956,0.028,0.00078400003,0.0
175,Honduras,Yoro,2.1,0,1,1.0,0.0,0,2060.800048828125,7.63,3.068053,,,,-0.28369004,-4.795443,-10.520198,,,24.3,590.49,1.0800000429153442,1.1664001,0.66,0.43560004,1.0
176,Mexico,Aguascalientes,2.656358,1,0,0.0,0.0,0,11558.095703125,9.355142,2.5952547,-0.699642,4.225373,8.039157,-0.050169982,-5.674667,-11.996222,0.09732497,,18.3,334.88998,0.45610000610351564,0.20802721,1.878,3.526884,1.0
177,Mexico,Baja California,-0.8983177,0,0,0.0,0.0,1,12867.705078125,9.462476,1.3609766,-0.7703533,,,-0.037873704,-5.9224095,-12.23212,1.2423357,,22.3,497.28998,0.20510000610351561,0.04206601,0.001,1.0000001e-06,0.0
178,Mexico,Baja California Sur,-0.8983177,1,0,0.0,0.0,0,11250.7294921875,9.328188,1.7917595,-0.86382663,,,-0.044053394,-5.4776573,-11.561987,1.0457028,,23.6,556.96,0.1755,0.03080025,0.05,0.0025000002,0.0
